"Data Import Template"
"Table:","DocPerm"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","DocPerm","","","","","","","","","","","","","","","","",""
"Column Labels:","ID","Role","Apply User Permissions","Level","User Permission DocTypes","Read","Write","Create","Delete","Submit","Cancel","Amend","Report","Export","Import","Set User Permissions","Print","Email"
"Column Name:","name","role","apply_user_permissions","permlevel","user_permission_doctypes","read","write","create","delete","submit","cancel","amend","report","export","import","set_user_permissions","print","email"
"Mandatory:","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data (text)","Link","Check","Int","Text","Check","Check","Check","Check","Check","Check","Check","Check","Check","Check","Check","Check","Check"
"Info:","","Valid Role","0 or 1","Integer","","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1","0 or 1"
"Start entering data below this line"
"","""PERM00588""","Administrator",0,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00593""","System Manager","",0,"",1,1,1,1,"","","","","","","","",""
"","""PERM00614""","Sales User","",0,"",1,"","","","","","","","","","","",""
"","""PERM00611""","Sales User","",0,"",1,1,1,"","","","","","","","",1,1
"","""PERM00612""","Material User","",0,"",1,1,1,"","","","","","","","",1,1
"","""PERM00613""","Accounts User","",0,"",1,1,1,"","","","","","","","",1,1
"","""PERM00329""","Manufacturing User",0,0,"",1,1,1,0,0,0,0,0,0,0,0,1,1
"","""PERM00330""","Manufacturing Manager",0,0,"",1,1,1,1,1,1,1,0,0,0,0,0,1
"","""PERM00320""","Manufacturing User",1,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00321""","Manufacturing Manager",1,0,"",1,1,1,1,0,0,0,"","","",0,"",""
"","""PERM00509""","Material User",1,0,"",1,1,1,1,1,1,1,1,"","",1,1,1
"","""PERM00510""","Manufacturing User",1,0,"",1,1,1,1,1,1,1,1,"","","",1,1
"","""PERM00511""","Manufacturing Manager",1,0,"",1,1,1,1,1,1,1,1,"","","",1,1
"","""PERM00512""","Material Manager",1,0,"",1,1,1,1,1,1,1,1,"","",1,1,1
"","""PERM00513""","Administrator","",0,"",1,1,1,1,1,1,1,"","","","","",""
"","""PERM00235""","All",0,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00585""","Accounts User",0,0,"",1,1,0,0,0,0,0,0,0,0,0,0,0
"","""PERM00608""","Manufacturing User","",0,"",1,1,1,0,"","","","","","","","",""
"","""PERM00609""","Manufacturing Manager","",0,"",1,1,1,"","","","","","","","","",""
"","""PERM00508""","Material Master Manager",0,0,"",1,1,1,0,0,0,0,0,0,0,0,0,0
"","""PERM00605""","Manufacturing Manager","",0,"",1,1,1,"","","","","","","","","",""
"","""PERM00606""","Material Manager","",0,"",1,1,"","","","","","","","","","",""
"","""PERM00607""","Material User","",0,"",1,1,"","","","","","","","","","",""
"","""PERM00604""","System Manager","",0,"",1,1,1,1,"","","","","","","","",""
"","""PERM00603""","System Manager","",0,"",1,1,1,1,"","","","","","","","",""
"","""PERM00196""","Accounts User",1,0,"",1,1,1,1,1,1,1,1,"","","",1,1
"","""PERM00197""","Accounts Manager","",0,"",1,1,1,1,1,1,1,1,"","","",1,1
"","""PERM00198""","Auditor",1,0,"",1,0,0,0,0,0,0,1,"","","",1,1
"","""PERM00602""","Accountant",0,0,"",1,1,1,1,1,1,0,0,0,0,0,0,0
"","""PERM00299""","Administrator",0,0,"",1,1,1,1,1,1,1,0,0,0,0,0,0
"","""PERM00573""","Administrator",0,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00574""","All","",0,"",1,"","","","","","","","","","","",""
"","""PERM00498""","Material Manager","",0,"",1,1,1,1,1,1,1,1,"","","",1,1
"","""PERM00499""","Material User",1,0,"",1,1,1,1,1,1,1,1,"","","",1,1
"","""PERM00500""","Purchase User",1,0,"",1,1,1,1,1,1,1,1,"","","",1,1
"","""PERM00501""","Accounts User",1,0,"",1,"","","","","","",1,"","","","",""
"","""PERM00502""","Supplier",1,0,"",1,"","",0,"",0,"",1,"","","",1,1
"","""PERM00503""","Material Manager","",1,"",1,1,"","","","","","","","","","",""
"","""PERM00110""","System Manager","",0,"",1,1,1,"","","","","","","","","",""
"","""PERM00601""","Administrator",0,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00600""","Administrator",0,0,"",1,1,1,0,0,0,0,0,0,0,0,0,0
"","""PERM00599""","Administrator",0,0,"",1,1,1,0,1,1,0,0,0,0,0,0,0
"","""PERM00598""","Administrator",0,0,"",1,1,1,0,0,0,0,0,0,0,0,0,0
"","""PERM00567""","Administrator",0,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00568""","All","",0,"",1,"","","","","","","","","","","",""
"","""PERM00597""","System Manager","",0,"",1,1,1,1,"","","","","","","","",""
"","""PERM00565""","Administrator",0,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00566""","All","",0,"",1,"","","","","","","","","","","",""
"","""PERM00596""","System Manager","",0,"",1,1,1,1,"","","","","","","","",""
"","""PERM00563""","Administrator",0,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00564""","All","",0,"",1,"","","","","","","","","","","",""
"","""PERM00595""","System Manager","",0,"",1,1,1,1,"","","","","","","","",""
"","""PERM00581""","Administrator",0,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00582""","All","",0,"",1,"","","","","","","","","","","",""
"","""PERM00594""","System Manager","",0,"",1,1,1,1,"","","","","","","","",""
"","""PERM00569""","Administrator",0,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00570""","All","",0,"",1,"","","","","","","","","","","",""
"","""PERM00591""","System Manager",0,0,"",1,1,1,0,0,0,0,0,0,0,0,0,0
"","""PERM00592""","Administrator",0,0,"",1,1,1,0,0,0,0,0,0,0,0,0,0
"","""PERM00577""","Administrator",0,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00579""","Administrator",0,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00572""","Administrator",0,0,"",1,1,1,1,1,1,1,0,0,0,0,0,0
"","""PERM00584""","Administrator",0,0,"",1,0,0,0,0,0,0,0,0,0,0,0,0
"","""PERM00349""","Sales User",0,0,"",1,1,1,1,1,1,1,0,0,0,0,1,0
"","""PERM00350""","Material User",0,0,"",1,1,1,1,1,1,1,0,0,0,0,1,0
"","""PERM00327""","Manufacturing Manager",0,0,"",1,1,0,0,0,0,0,0,0,0,0,1,0
"","""PERM00328""","Manufacturing User",0,0,"",1,1,0,0,0,0,0,0,0,0,0,1,0
"","""PERM00306""","Administrator",0,0,"",1,1,1,1,1,1,1,0,0,0,0,0,0
"","""PERM00280""","Administrator",0,0,"",1,1,1,1,1,1,0,0,0,0,0,0,0
"","""PERM00281""","HR Manager","",0,"",1,1,1,1,1,1,"","","","","","",""
"","""PERM00102""","All",0,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00140""","System Manager","",0,"",1,1,1,1,0,"","",1,"","","",1,1
"","""PERM00141""","All",1,0,"",1,1,0,"","",0,"","","","","","",1
"","""PERM00142""","All",0,0,"",1,0,0,0,0,0,"",0,"","","",0,0
"","""PERM00143""","System Manager","",1,"",1,1,0,0,0,0,0,1,"","","","",""
"","""PERM00590""","Administrator",0,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00571""","Administrator",0,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00575""","Administrator",0,0,"",1,1,1,1,0,0,0,0,0,0,0,0,0
"","""PERM00576""","All","",0,"",1,"","","","","","","","","","","",""
"","""PERM00589""","Administrator",0,0,"",1,1,0,0,0,0,0,0,0,0,0,0,0
"","""PERM00345""","Sales User",1,0,"",1,1,1,0,0,"",0,1,"","","",1,1
"","""PERM00346""","Sales User","",1,"",1,"","",0,"",0,"","","","","","",""
"","""PERM00347""","Sales Master Manager","",0,"",1,1,1,1,0,"",0,1,"","",1,1,1
"","""PERM00348""","Sales Master Manager","",1,"",1,1,"",0,"",0,"","","","","","",""
"","""PERM00322""","Guest","",0,"",1,1,1,1,"","","","","","","","",""
